felixdata 14.5 14.5, 19.5, 23.5, 10.5, 30.5, 21.5, 19.5, 27.5
felixdata 12.5 12.5, 18.5, 23.5, 8.5, 29.5, 20.5, 18.5, 26.5
felixdata 13.5 13.5, 17.5, 22.5, 9.5, 29.5, 20.5, 20.5, 26.5
felixdata 13.5 13.5, 20.5, 23.5, 12.5, 29.5, 22.5, 20.5, 29.5
felixdata 12.5 12.5, 18.5, 22.5, 10.5, 29.5, 22.5, 19.5, 27.5
felixdata 13.5 13.5, 15.5, 22.5, 7.5, 29.5, 20.5, 20.5, 25.5
felixdata 12.5 12.5, 18.5, 22.5, 10.5, 30.5, 22.5, 19.5, 29.5
felixdata 12.5 12.5, 19.5, 22.5, 11.5, 30.5, 23.5, 20.5, 30.5
felixdata 12.5 12.5, 17.5, 20.5, 8.5, 28.5, 20.5, 18.5, 27.5
felixdata 13.5 13.5, 15.5, 22.5, 7.5, 30.5, 18.5, 19.5, 25.5
felixdata 13.5 13.5, 18.5, 22.5, 11.5, 29.5, 20.5, 20.5, 26.5
felixdata 13.5 13.5, 20.5, 22.5, 10.5, 29.5, 22.5, 18.5, 29.5
